species,target_pos,n_train,n_train_pos,n_test_pos,n_test,model,accuracy,f1,average_precision,auroc
Anabacerthia lichtensteini,25,100,25,5,9542,autogluon,0.9910920142527772,0.08602150537634409,0.2503070284623683,0.9973366886861696
Anas platyrhynchos,5,20,5,6,9542,linear_probe,0.9832320268287571,0.058823529411764705,0.052065230726384366,0.9792715324384789
Anas platyrhynchos,5,20,5,6,9542,autogluon,0.9989520016767973,0.0,0.09757065732243403,0.9890502656599552
Andigena hypoglauca,5,20,5,2,9542,linear_probe,0.9946552085516663,0.07272727272727272,1.0,1.0
Andigena hypoglauca,5,20,5,2,9542,autogluon,0.9997904003353595,0.0,0.21666666666666667,0.999056603773585
Anhinga anhinga,5,20,5,5,9542,linear_probe,0.985956822469084,0.06944444444444445,0.46263736263736255,0.9995386389850058
Anhinga anhinga,5,20,5,5,9542,autogluon,0.9986376021798365,0.3157894736842105,0.2527856201769245,0.9989724231938765
Anisognathus lacrymosus,5,20,5,2,9542,linear_probe,0.9936072102284637,0.06153846153846154,0.3333333333333333,0.999685534591195
Anisognathus lacrymosus,5,20,5,2,9542,autogluon,0.9987424020121568,0.25,0.41666666666666663,0.99979035639413
Anthracoceros albirostris,5,20,5,1,9542,linear_probe,0.9802976315237896,0.010526315789473684,0.041666666666666664,0.997589351221046
Anthracoceros albirostris,5,20,5,1,9542,autogluon,0.9989520016767973,0.0,0.1,0.9990567026517136
Anthus trivialis,5,20,5,26,9542,linear_probe,0.9676168518130371,0.10951008645533142,0.47829419382662874,0.9572137614382256
Anthus trivialis,5,20,5,26,9542,autogluon,0.9975896038566339,0.30303030303030304,0.3298786095528804,0.9346121511947489
Anthus trivialis,25,100,25,26,9542,linear_probe,0.9706560469503249,0.14634146341463414,0.573991621635174,0.9872158631616388
Anthus trivialis,25,100,25,26,9542,autogluon,0.9962272060364703,0.45454545454545453,0.4735678411642113,0.9727180133863614
Anthus trivialis,100,400,100,26,9542,linear_probe,0.962481660029344,0.11822660098522167,0.7243020600059884,0.9947820674491544
Anthus trivialis,100,400,100,26,9542,autogluon,0.9662544539928736,0.12972972972972974,0.5412500147828893,0.9913748504542956
Antrostomus sericocaudatus,5,20,5,5,9542,linear_probe,0.9904632152588556,0.09900990099009901,0.9666666666666666,0.999979029044773
Antrostomus sericocaudatus,5,20,5,5,9542,autogluon,0.9991616013414378,0.5555555555555556,0.9428571428571428,0.999958058089546
Apalis binotata,5,20,5,5,9542,linear_probe,0.9766296373925801,0.04291845493562232,0.8051813471502591,0.996057460417322
Apalis binotata,5,20,5,5,9542,autogluon,0.9994760008383986,0.5454545454545454,0.7633333333333333,0.9997483485372759
Apalis cinerea,5,20,5,57,9542,linear_probe,0.9870048207922867,0.41509433962264153,0.5701726739971388,0.9905612740337929
Apalis cinerea,5,20,5,57,9542,autogluon,0.9943408090547056,0.1,0.3694580753657429,0.9674971561745693
Apalis cinerea,25,100,25,57,9542,linear_probe,0.9733808425906518,0.2824858757062147,0.5277492893909442,0.9919226109554329
