species,target_pos,seed,n_train,n_train_pos,n_test_pos,n_test,model,accuracy,f1,precision,recall,average_precision,auroc
Turdus merula,2500,0,10000,2500,639,9542,linear_probe,0.9161601341437854,0.5922528032619776,0.43915343915343913,0.9092331768388107,0.7888483391901461,0.9739795117504483
Turdus merula,2500,0,10000,2500,639,9542,autogluon,0.9481240830014672,0.6804389928986443,0.5791208791208792,0.8247261345852895,0.7770219808702452,0.9740361999269821
Turdus merula,2500,1,10000,2500,639,9542,linear_probe,0.9176273317962691,0.5965092402464066,0.44385026737967914,0.9092331768388107,0.7878669202051511,0.9735442871765018
Turdus merula,2500,1,10000,2500,639,9542,autogluon,0.9517920771326766,0.7005208333333334,0.5997770345596433,0.8419405320813772,0.8239898600856587,0.9777044083362733
Turdus merula,2500,2,10000,2500,639,9542,linear_probe,0.9166841333053867,0.5920985120574653,0.4404580152671756,0.9029733959311425,0.7879833897717057,0.974054568653952
Turdus merula,2500,2,10000,2500,639,9542,autogluon,0.9510584783064348,0.6973428386260532,0.5951327433628318,0.8419405320813772,0.8155606042605492,0.9773516233120765
Turdus merula,5000,0,10640,2660,639,9542,linear_probe,0.9178369314609096,0.597948717948718,0.444698703279939,0.9123630672926447,0.7901208277080577,0.9742403652511497
Turdus merula,5000,0,10640,2660,639,9542,autogluon,0.9479144833368267,0.6903426791277258,0.5734989648033126,0.86697965571205,0.8185383089020889,0.9785955992045725
Stachyris maculata,1000,0,4000,1000,495,9542,linear_probe,0.9620624607000628,0.7171875,0.5847133757961783,0.9272727272727272,0.8934884508055833,0.990226125519593
Stachyris maculata,1000,0,4000,1000,495,9542,autogluon,0.9740096415845735,0.7839721254355401,0.6891271056661562,0.9090909090909091,0.9042982395537591,0.9912518575832382
Stachyris maculata,1000,1,4000,1000,495,9542,linear_probe,0.9621672605323831,0.7195027195027195,0.5845959595959596,0.9353535353535354,0.8897014663287115,0.9901571255832337
Stachyris maculata,1000,1,4000,1000,495,9542,autogluon,0.97264724376441,0.7774936061381074,0.672566371681416,0.9212121212121213,0.9086319156621769,0.9927366960195523
Stachyris maculata,1000,2,4000,1000,495,9542,linear_probe,0.9638440578495074,0.7281323877068558,0.5968992248062015,0.9333333333333333,0.900765685703364,0.9908879889868062
Stachyris maculata,1000,2,4000,1000,495,9542,autogluon,0.9747432404108154,0.7895196506550218,0.6953846153846154,0.9131313131313131,0.9100697165128715,0.9929917054930871
Stachyris maculata,2500,0,8420,2105,495,9542,linear_probe,0.965625654998952,0.7400950871632329,0.6088657105606258,0.9434343434343434,0.9175574364752119,0.9921369101649857
Stachyris maculata,2500,0,8420,2105,495,9542,autogluon,0.9802976315237896,0.8290909090909091,0.7537190082644628,0.9212121212121213,0.9353844630307951,0.995005543441489
Stachyris maculata,5000,0,8420,2105,495,9542,linear_probe,0.965625654998952,0.7400950871632329,0.6088657105606258,0.9434343434343434,0.9175574364752119,0.9921369101649857
Stachyris maculata,5000,0,8420,2105,495,9542,autogluon,0.9802976315237896,0.8290909090909091,0.7537190082644628,0.9212121212121213,0.9353844630307951,0.995005543441489
Sylvia atricapilla,1000,0,4000,1000,413,9542,linear_probe,0.9420456927268916,0.5807429871114481,0.4227373068432671,0.927360774818402,0.7845633724647608,0.9819604766440239
Sylvia atricapilla,1000,0,4000,1000,413,9542,autogluon,0.9602808635506184,0.6519742883379247,0.5251479289940828,0.8595641646489104,0.7904761675788458,0.9825551279123523
Sylvia atricapilla,1000,1,4000,1000,413,9542,linear_probe,0.9400544959128065,0.575037147102526,0.41479099678456594,0.937046004842615,0.7872432745411212,0.9837675056766385
Sylvia atricapilla,1000,1,4000,1000,413,9542,autogluon,0.9734856424229721,0.7299893276414088,0.6526717557251909,0.8280871670702179,0.7989641524923281,0.9857238606075893
Sylvia atricapilla,1000,2,4000,1000,413,9542,linear_probe,0.9298889121777405,0.5357390700902152,0.3754863813229572,0.9346246973365617,0.7888994523108616,0.9828230127388518
Sylvia atricapilla,1000,2,4000,1000,413,9542,autogluon,0.965625654998952,0.6846153846153846,0.5677830940988836,0.8619854721549637,0.7465865245477552,0.9808381453139915
Sylvia atricapilla,2500,0,6648,1662,413,9542,linear_probe,0.9375392999371202,0.5662299854439592,0.404786680541103,0.9418886198547215,0.7924045737584549,0.9835404666553678
Sylvia atricapilla,2500,0,6648,1662,413,9542,autogluon,0.9603856633829386,0.6618962432915921,0.524822695035461,0.8958837772397095,0.80310058215393,0.9832739079913756
Sylvia atricapilla,5000,0,6648,1662,413,9542,linear_probe,0.9375392999371202,0.5662299854439592,0.404786680541103,0.9418886198547215,0.7924045737584549,0.9835404666553678
Sylvia atricapilla,5000,0,6648,1662,413,9542,autogluon,0.9603856633829386,0.6618962432915921,0.524822695035461,0.8958837772397095,0.80310058215393,0.9832739079913756
Dicrurus paradiseus,1000,0,4000,1000,417,9542,linear_probe,0.9374345001047998,0.5670775924583031,0.40644490644490644,0.9376498800959233,0.7191544024912061,0.9817779967806576
Dicrurus paradiseus,1000,0,4000,1000,417,9542,autogluon,0.9626912596939845,0.6787003610108303,0.5441389290882779,0.9016786570743405,0.7889385415792173,0.9854330672448343
Dicrurus paradiseus,1000,1,4000,1000,417,9542,linear_probe,0.9492768811569902,0.6115569823434992,0.45958986731001206,0.9136690647482014,0.7398085107280037,0.9803181235833252
Dicrurus paradiseus,1000,1,4000,1000,417,9542,autogluon,0.9616432613707818,0.676678445229682,0.5356643356643357,0.9184652278177458,0.7739144445608799,0.9867469531224335
