species,average_precision_autogluon,average_precision_linear_probe,auroc_autogluon,auroc_linear_probe,delta_ap
Cinnyris chloropygius,0.21696286472328064,0.2258326312380723,0.9700639614134424,0.9878158750131069,-0.008869766514791655
Dysithamnus mentalis,0.0725784549431678,0.08186469663019108,0.946035187400319,0.9723828194222931,-0.009286241687023286
Neocossyphus fraseri,0.25748355714591625,0.2676410514291078,0.9839648897452365,0.9905762830618322,-0.01015749428319157
Tangara vassorii,0.2399211899211899,0.2508002962696728,0.9983219716832721,0.9980223237695708,-0.010879106348482909
Muscicapa striata,0.5137483417544559,0.5264491136270323,0.9973165546924209,0.9983007033382323,-0.012700771872576344
Pellorneum ruficeps,0.10205555454153074,0.11500249937526967,0.9851882146824587,0.9863433128658041,-0.012946944833738927
Coereba flaveola,0.28061935519564024,0.2936937547892438,0.9903482394024639,0.993763539948912,-0.01307439959360357
Bleda syndactylus,0.04386491322799131,0.05728516334262407,0.9717711706848986,0.9713925872616049,-0.013420250114632756
Polioptila dumicola,0.023894675685999307,0.03739257560140275,0.9389081203305476,0.9830763313402566,-0.013497899915403445
Iole propinqua,0.036073529474817026,0.05057784401492298,0.9822018565135305,0.987308579819593,-0.014504314540105957
Oreolais pulcher,0.1937717649679644,0.20828728808584096,0.9363543537199395,0.9811330586951165,-0.014515523117876572
Cacicus solitarius,0.17922019927856717,0.1937528581889065,0.9819130533191063,0.9814159148963688,-0.014532658910339336
Prunella collaris,0.009002729382101091,0.023565510093511703,0.949059027049696,0.9809184315370099,-0.014562780711410612
Recurvirostra avosetta,0.8642327944959524,0.879315712115102,0.999760838116571,0.9997958374165851,-0.015082917619149594
Rhipidura javanica,0.6372075596313342,0.652834043960739,0.9977083846162863,0.9981429291483095,-0.015626484329404722
Hypoedaleus guttatus,0.1433857278551679,0.1599039111752487,0.9797913085770185,0.9852932236082173,-0.016518183320080787
Cossypha natalensis,0.5929701705243501,0.6097227224959803,0.9932878867330887,0.9960895947261967,-0.01675255197163017
Cryptopezus nattereri,0.0053475935828877,0.022222222222222223,0.9810292422177969,0.9953883240750445,-0.016874628639334522
Emberiza citrinella,0.06502879992376878,0.0823654462897591,0.8627112639093009,0.9263791203023306,-0.01733664636599032
